# turbineXstart, turbineYstart
-2.059210298658524607e+02 -1.730702190888683617e+03
4.998058425181627626e+02 1.956210028427728275e+03
-1.049133205384807752e+03 -1.331465572983506718e+03
6.694604653513922585e+02 1.475506101484214696e+03
-1.413236853759211044e+03 -6.297508603657098547e+02
1.697260092027565406e+03 9.412191755725386884e+02
-1.722160916364645345e+03 -2.328926008693397023e+02
1.591819232073017702e+03 5.316290298001532619e+02
9.952284695993552077e+02 -1.548588788100503052e+03
-1.286912667474940008e+03 1.371851553534813775e+03
2.098329356707429270e+02 -1.053421847199519107e+03
-6.343785152150063595e+02 9.281034320484640148e+02
6.606976982976109980e+01 -5.057592770137508751e+02
-1.756973388253132953e+02 1.959319995971131902e+02
-4.414683782356689790e+02 1.144168837318030398e+02
6.979411328128691139e+02 -2.767829306533498084e+02
-8.959889410529601719e+02 4.546640043273733340e+02
7.262509980156455640e+02 -4.124608449669469223e+02
-1.197924945583108183e+03 7.296225655689870564e+02
1.513417072470543189e+03 -9.185518854839064034e+02
1.940533326376227251e+03 -8.099731985719515706e+02
-1.908920360763810322e+03 1.593600144485707801e+02
1.631072615737942670e+03 9.713991431555118083e+01
-1.232881139521483192e+03 -2.552970138880218656e+02
1.265281888010670173e+03 5.037734666473959919e+02
-1.226634038455546488e+03 -2.804687582711343339e+02
3.325450331474484074e+02 8.361913803128020390e+02
-3.053840325394788806e+02 -8.814144116183875894e+02
-1.130916283185396480e+02 1.118521652074423855e+03
-8.777524607771498211e+01 -1.480726709480569752e+03
-2.407208993591222850e+02 1.980331672684860678e+03
5.582579788430183498e+02 -1.804210509519761217e+03
