# turbineXstart, turbineYstart
-4.499094729246220936e+02 -1.106579269082893461e+03
4.458443807301257493e+02 1.143651177814903804e+03
-4.949850318761935455e+02 -1.048111552221159855e+03
5.984001237539134763e+02 9.580717053398865346e+02
-1.065710666144669858e+03 -6.967494906160147821e+02
1.016811526914594083e+03 4.673611850697945442e+02
-1.073548031785628154e+03 -4.274560215133222414e+02
1.268285627024672522e+03 3.891745810853241210e+02
7.213711803847022566e+02 -7.474478185197770017e+02
-5.308631532390545544e+02 9.472764332108300778e+02
3.661465553613801376e+02 -8.143384514768661120e+02
-2.997567751708128299e+02 7.638438091649295529e+02
-1.380410292582149054e+02 -2.256336333506135361e+02
4.126488249019587329e+00 4.739410369703223864e+02
-9.903320480034801676e+01 -9.009258212178846748e+01
3.180571332528614903e+02 2.185609259107769731e+02
-6.492115703714496249e+02 3.275162014741131884e+02
6.558178059854794810e+02 -3.475568308762956349e+02
-9.641570154381149678e+02 7.663785303873993371e+02
1.161719518965400539e+03 -5.803704987164601334e+02
1.286667675585966663e+03 -4.077477786074097139e+02
-1.339531282248431808e+03 4.593150018293493986e+02
1.022237274830599745e+03 2.089731060269971294e+02
-1.097197902916891962e+03 1.193980646642816623e+02
4.744478469322154979e+02 2.343845294195743634e+02
-4.570208947868724749e+02 -1.407273325632679644e+02
3.848749736969506898e+02 6.809086923084694263e+02
-1.424299425009049855e+02 -5.348070671316377229e+02
-7.806675933963322223e+01 1.123209350644989172e+03
-1.389257314547455735e+01 -8.417371743624680676e+02
-4.602854000423976686e+02 1.144829680774264716e+03
1.737876258604415511e+02 -1.324593418372290444e+03
