# turbineXstart, turbineYstart
-5.232297352377188417e+02 -2.147510368766843840e+03
3.956269374205801910e+02 2.209828924480139904e+03
-1.241956521266498839e+03 -1.394418799357741136e+03
9.822409217718164882e+02 1.264563011075690383e+03
-1.651023339650727394e+03 -1.198489240160577992e+03
1.215754041036673698e+03 1.028604033832273899e+03
-1.808885663386453416e+03 -1.892476532917500549e+02
1.649696033174487638e+03 2.400816969493702402e+02
1.220030532335348198e+03 -1.708210336610710556e+03
-1.215369033783825898e+03 1.429024522026073782e+03
2.398724500990596198e+02 -1.130464702307212065e+03
-4.872973670498943193e+02 6.563180520303922094e+02
1.313356613383487854e+02 -4.334929805130936984e+02
3.084242416975980632e+02 8.149051836195651504e+02
-5.708658026783331252e+02 2.507163216285142084e+02
3.038291627819098721e+02 1.961885369478345069e+02
-7.462886266380021425e+02 2.960368887917470602e+02
8.344628182870715136e+02 -3.630025164546077008e+02
-1.355882660700190399e+03 7.442152026434704339e+02
1.530990526088385423e+03 -1.173327277847122559e+03
2.152987959636722735e+03 -3.702555344615815329e+02
-1.809443947391197526e+03 4.397283372202654164e+02
1.289897753940844041e+03 -2.567253576316550152e+02
-1.767597604715010448e+03 -1.210588326785871516e+01
9.094598570559728614e+02 3.419755602873379985e+02
-1.070227213686101550e+03 -7.462232399681495281e+02
7.473680962174033766e+02 8.610139633305834650e+02
-2.887238003470428112e+02 -1.294456130382961646e+03
2.501273658690467414e+02 1.694168933193021758e+03
-1.663327979848549489e+02 -1.175690681440633853e+03
-5.628043168897905844e+02 1.640780034466692996e+03
7.734327572723519779e+02 -1.625084074514335498e+03
