# turbineXstart, turbineYstart
-2.669804705883366296e+02 -7.346674660919053395e+02
8.665820007728189012e+01 7.420905920912763349e+02
-2.654083025476153352e+02 -5.555379757441689890e+02
4.165119869736980718e+02 4.643786127279411744e+02
-3.879197529014144266e+02 -4.316306834518349547e+02
3.721672413466409353e+02 4.046066726174292398e+02
-6.547835818469378637e+02 -1.280413476541080229e+02
6.660181653085827520e+02 1.297060570765121952e+02
2.498108968356897890e+02 -5.031274739921506693e+02
-3.766790055362158114e+02 5.427640048535189408e+02
2.363493595207045246e+02 -3.827526715744302805e+02
-1.347702641822932037e+02 2.574932918538233935e+02
1.425272758915660631e+01 -1.735944388040836657e+02
8.643836784029991804e+01 1.478598988487120209e+02
-2.381633417251013043e+02 1.102252272671362050e+02
9.685575144815204851e+01 -6.104269456679020323e+00
-3.658970309028817951e+02 1.786231462358382203e+02
4.057672092983730749e+02 -1.833368579705507386e+02
-4.899480039913906353e+02 2.751295786451881895e+02
3.744798970915666132e+02 -4.133149909280062957e+02
7.423018005005978921e+02 -2.706437833090112690e+02
-5.310271505643149794e+02 2.016579121860313819e+02
5.655296537234195284e+02 8.294254026124741586e+01
-5.747915857544119262e+02 -2.635105459773066627e+01
3.987743519011503395e+02 1.491135304100159829e+02
-3.596041056731961021e+02 -1.187421757361846630e+02
2.605415205184739307e+02 2.705175633220189297e+02
-1.795404092991359448e+02 -2.979491176331974884e+02
-1.011270761150039732e+01 4.211437675769543603e+02
-5.088409480131597462e+01 -5.556111906529143880e+02
-1.313571044158343852e+02 5.574014844809638589e+02
8.551769347466182580e+01 -6.327161262755099642e+02
