# turbineXstart, turbineYstart
-6.013360693904526215e+02 -1.978260123619415708e+03
4.352726354636141650e+02 1.882313716701903104e+03
-1.067452010383567540e+03 -1.323284630452552619e+03
9.150484465572066028e+02 1.318527875088406972e+03
-1.448466403364008102e+03 -9.285397183663571923e+02
1.421698231341441442e+03 8.959066689724819526e+02
-1.878141840197472902e+03 -4.580427968893274624e+02
1.753945715901583753e+03 5.816346005912838564e+02
8.067033105343971329e+02 -1.343718144054965251e+03
-1.008193293607681881e+03 1.466001470885238405e+03
4.670636575642535604e+02 -8.678278887441963434e+02
-5.384062516232277176e+02 7.966963414201105707e+02
-5.206239435282516581e+01 -6.373396787856959236e+02
1.021304945616147108e+01 5.227662450391241009e+02
-4.477873413270705214e+02 -4.170882348124422379e+01
3.929596369557253865e+02 1.195827614211517727e+02
-1.082231843500667765e+03 3.251414452695521504e+02
9.919843417426349106e+02 -4.716453694221843307e+02
-1.420282028236664246e+03 9.178894789713012869e+02
1.315680687879625339e+03 -1.041672793796878523e+03
2.032325926416141783e+03 -6.335353460881455021e+02
-2.079671668537892856e+03 4.646965398294885290e+02
1.576516191094537362e+03 -6.477946092953715151e+01
-1.307539351372342480e+03 -1.033830610212946794e+02
8.794691096120976681e+02 5.561385870104581954e+02
-1.109399881111327659e+03 -4.021837343176121067e+02
5.236340837564222284e+02 1.087631001960609865e+03
-6.261590123028752259e+02 -8.205608675599777371e+02
-1.632794759500037003e+02 1.514797302852791063e+03
1.595999859682978297e+02 -1.344231181622754775e+03
-4.941659240134583229e+02 1.884377038216360916e+03
4.499604013339640005e+02 -1.865828350383070301e+03
