# turbineXstart, turbineYstart
1.031468093870654457e+03 6.129082440207606197e+01
1.429712549817213130e+03 -1.534869983144752155e+02
2.199451551044804546e+03 4.002099906793226580e+01
6.889725023446517298e+02 4.528722828813275783e+02
1.277179549095839320e+03 3.552541677277032477e+02
1.792646594576654252e+03 6.558884669219926309e+02
2.563731965811247846e+03 5.143923038847551652e+02
3.016901405317347326e+03 6.774817204122477960e+02
5.272435770949530252e+02 9.899337790286843983e+02
1.094417525470388682e+03 1.114895954988963013e+03
1.743521007260244005e+03 1.086343019607475298e+03
2.378211002911242758e+03 9.148921813205081435e+02
2.779230378768838364e+03 9.682044738589397639e+02
3.520001845772591423e+03 1.177903161640289909e+03
1.976835228910974820e+02 1.535443997719684603e+03
6.887364357669308674e+02 1.600163078921700162e+03
1.281081019749532061e+03 1.492460459722357882e+03
2.042802197372492174e+03 1.595035108956057229e+03
2.554810957881166360e+03 1.496542937703149164e+03
3.212739392159630370e+03 1.506922053990640052e+03
3.936010614383837492e+03 1.746121490260836026e+03
6.726399857531997668e+02 1.981605220497485334e+03
1.234995326025042459e+03 1.847061463503313462e+03
1.572785915032428647e+03 1.971744233035809430e+03
2.346980482850974568e+03 1.870317579142060822e+03
2.791868874206473265e+03 2.103001525664057681e+03
3.434815144427496307e+03 2.206171242657343555e+03
1.260319137083236569e+02 2.352481366378989605e+03
7.321370143566457500e+02 2.534424373793274754e+03
1.334730371657885371e+03 2.345087714470126684e+03
2.020928364735917967e+03 2.559056985809410435e+03
2.685851855900020837e+03 2.654808646475504247e+03
3.152316504284469829e+03 2.578428921424994314e+03
3.934805074090219478e+03 2.711771488190264790e+03
-1.408151505731528914e+02 2.950375980608195732e+03
6.440478427697574944e+02 2.977973942197679662e+03
1.140440387445425131e+03 3.018018455471133620e+03
1.871299786507277076e+03 2.810841361896942544e+03
2.430797548699799336e+03 2.838480103218705153e+03
2.912288537570070275e+03 2.940966793571191374e+03
3.375149995764701089e+03 3.208287257365702317e+03
3.324798141407680419e+02 3.503768583559428407e+03
7.201455707770985555e+02 3.531167923697492370e+03
1.347054987017986605e+03 3.305488125973049137e+03
1.975150213549443833e+03 3.333419878268950924e+03
2.644325122038429981e+03 3.607512606376832537e+03
3.179137344588446922e+03 3.625416041774053156e+03
3.639715568428827737e+03 3.668711701732275742e+03
9.668797132057589749e+01 3.982317945047463581e+03
4.379821042166590814e+02 3.803772786147283568e+03
1.149571191122600339e+03 3.983623845758171228e+03
1.831757173327164764e+03 4.083032734132612404e+03
2.318573644934736421e+03 4.070885184771605054e+03
2.768423484482075764e+03 3.915897441884740601e+03
3.210862853935478824e+02 4.416694550675002574e+03
7.447797024446247178e+02 4.475698142801346876e+03
1.301586509244385297e+03 4.246061399072726999e+03
2.139227468696585674e+03 4.297435943314353608e+03
9.925642786399637316e+02 4.922509102798245294e+03
1.643603591391148257e+03 4.901920525998293670e+03
