# turbineX, turbineY, turbineZ
1.018621803558659167e+03 9.287064285936343921e+00 6.548090267429637379e+01
1.534140401118201453e+03 3.215234588138511374e-01 6.548090267429637379e+01
2.216518534104165610e+03 5.390487260599159214e+01 6.548090267429637379e+01
6.961664273491314816e+02 5.543502595467049332e+02 6.548090267429637379e+01
1.215449199339823963e+03 3.816355266295677779e+02 6.548090267429637379e+01
1.977869731156696389e+03 3.835700024255036169e+02 6.548090267429637379e+01
2.418159689549966970e+03 4.355171321342539841e+02 6.548090267429637379e+01
3.135502000000002226e+03 5.797149999999995771e+02 6.548090267429637379e+01
4.747883046422442135e+02 9.897272342035859083e+02 6.548090267429637379e+01
1.014145155100813668e+03 1.069739857375098154e+03 6.548090267429637379e+01
1.595388130510812744e+03 9.662946229134723808e+02 6.548090267429637379e+01
2.187791508728756980e+03 1.228285630310014540e+03 6.548090267429637379e+01
2.791114001857189123e+03 1.025715703903607391e+03 6.548090267429637379e+01
3.536877528374775920e+03 1.193223213957961661e+03 6.548090267429637379e+01
2.877921047341787357e+02 1.357486427356114291e+03 6.548090267429637379e+01
9.462633320176200868e+02 1.418502123969675495e+03 6.548090267429637379e+01
1.458922862169918290e+03 1.485905368156680424e+03 6.548090267429637379e+01
2.097715821914766366e+03 1.704709503238149864e+03 6.548090267429637379e+01
2.670626570852847181e+03 1.505300606907712108e+03 6.548090267429637379e+01
3.195965549992471097e+03 1.638056579177797630e+03 6.548090267429637379e+01
3.800877109001860390e+03 1.635073213409796381e+03 6.548090267429637379e+01
2.979706851299856680e+02 1.871220668263693597e+03 6.548090267429637379e+01
1.102765718374828339e+03 2.022550868556034175e+03 6.548090267429637379e+01
1.705362444700202104e+03 1.828468045497000958e+03 6.548090267429637379e+01
2.383782847116561697e+03 2.188192230927403216e+03 6.548090267429637379e+01
3.073677077885099607e+03 2.155922995999128489e+03 6.548090267429637379e+01
3.629991429784157390e+03 2.267072201155746370e+03 6.548090267429637379e+01
3.437778081019935712e+02 2.557815221826639117e+03 6.548090267429637379e+01
6.188389538695611236e+02 2.375255431404043520e+03 6.548090267429637379e+01
1.336699326371134021e+03 2.482726982925998982e+03 6.548090267429637379e+01
1.976136583039238985e+03 2.514573653658329931e+03 6.548090267429637379e+01
2.481837453481145985e+03 2.585794168870820613e+03 6.548090267429637379e+01
3.277741285811653597e+03 2.686780762315427182e+03 6.548090267429637379e+01
3.770155741327692795e+03 2.755017224838439688e+03 6.548090267429637379e+01
1.538580688562856302e+01 2.845935874812537349e+03 6.548090267429637379e+01
6.243598562158015284e+02 3.022410698893399058e+03 6.548090267429637379e+01
1.323757648453785123e+03 2.982457034261170975e+03 6.548090267429637379e+01
1.743480422990163106e+03 2.858844145594997372e+03 6.548090267429637379e+01
2.494598652702698018e+03 2.977987105568782681e+03 6.548090267429637379e+01
3.005354509488448457e+03 3.068607859003433077e+03 6.548090267429637379e+01
3.657189413063148095e+03 3.270843159825522889e+03 6.548090267429637379e+01
1.280510347160179663e+02 3.376731632625755083e+03 6.548090267429637379e+01
8.295898774411678005e+02 3.516997098984580589e+03 6.548090267429637379e+01
1.351906980543108602e+03 3.360704875137758791e+03 6.548090267429637379e+01
2.073858453758590258e+03 3.760650833759967554e+03 6.548090267429637379e+01
2.605586090964268806e+03 3.577968552986565101e+03 6.548090267429637379e+01
3.149901198926960660e+03 3.643948744954830090e+03 6.548090267429637379e+01
3.614814855992868615e+03 3.631178795347930645e+03 6.548090267429637379e+01
1.952413427416888680e+01 3.881262411591580985e+03 6.548090267429637379e+01
3.660167071662243643e+02 3.800953461159448125e+03 6.548090267429637379e+01
1.251060322227641791e+03 3.887519810632207282e+03 6.548090267429637379e+01
1.674004173556586920e+03 3.885027627656239474e+03 6.548090267429637379e+01
2.623350982516734803e+03 4.275367345767848747e+03 6.548090267429637379e+01
3.057657635635501265e+03 3.994301162844525152e+03 6.548090267429637379e+01
3.710505658639493731e+02 4.433363431445582137e+03 6.548090267429637379e+01
6.772503287556850182e+02 4.303656241887411852e+03 6.548090267429637379e+01
1.437112188475598941e+03 4.445837188035716281e+03 6.548090267429637379e+01
2.134088772991891346e+03 4.596229128050057625e+03 6.548090267429637379e+01
9.630360414314898208e+02 4.776281847170681431e+03 6.548090267429637379e+01
1.683693999999999278e+03 4.889769999999998618e+03 6.548090267429637379e+01
