# turbineX, turbineY, turbineZ
4.655350857245193765e+02 4.618644807511298467e+01 4.509997263117170974e+01
8.294566553371893178e+02 1.771421844572979243e+00 1.025382171290225273e+02
1.078773999999999660e+03 1.008199999999997942e+01 4.509997263117170974e+01
2.722516441339803350e+02 4.263105498698377573e+02 1.025382171290225273e+02
6.740366914346931253e+02 2.643763556961168888e+02 4.509997263117170974e+01
8.899189332507401105e+02 2.171363284745094120e+02 1.025382171290225273e+02
1.331112646456052289e+03 1.544618057213072007e+02 4.509997263117170974e+01
1.567751000000001113e+03 2.898575000000001296e+02 1.025382171290225273e+02
1.897401186612849813e+02 5.885832166328057156e+02 4.509997263117170974e+01
5.160926506651765067e+02 4.653437052532283360e+02 1.025382171290225273e+02
9.226294919072519178e+02 4.628339509046128342e+02 4.509997263117170974e+01
1.156218467778194736e+03 5.715777175637102800e+02 1.025382171290225273e+02
1.359779985532992441e+03 4.453014573310674109e+02 4.509997263117170974e+01
1.783969187329620354e+03 6.224956455493656904e+02 1.025382171290225273e+02
1.102140655586366478e+02 7.449844544013479890e+02 4.509997263117170974e+01
4.266406412916808222e+02 8.182571498855835443e+02 1.025382171290225273e+02
7.149796930756912161e+02 8.160063718917946289e+02 4.509997263117170974e+01
9.444287034750129806e+02 6.435696000765103690e+02 1.025382171290225273e+02
1.355378929297762852e+03 7.125135298882901225e+02 4.509997263117170974e+01
1.605043401641923310e+03 7.724006451059593701e+02 1.025382171290225273e+02
1.877630833056291976e+03 7.785983884271508941e+02 4.509997263117170974e+01
1.953914222358926907e+02 9.058738339160976238e+02 1.025382171290225273e+02
4.989195367447042031e+02 1.125571894477400747e+03 4.509997263117170974e+01
8.752505695338415990e+02 1.040295084242575513e+03 1.025382171290225273e+02
1.173286734146872959e+03 9.991558448816182363e+02 4.509997263117170974e+01
1.506686885986010338e+03 1.142615908219562471e+03 1.025382171290225273e+02
1.896264751322308257e+03 1.019966060868077420e+03 4.509997263117170974e+01
5.848540897262006411e+01 1.082776272462451743e+03 1.025382171290225273e+02
4.598614079729646846e+02 1.328128439067192176e+03 4.509997263117170974e+01
7.749818012439985750e+02 1.372954746780322012e+03 1.025382171290225273e+02
9.803882193569685342e+02 1.254539673767335444e+03 4.509997263117170974e+01
1.295313558420101572e+03 1.215821405690775691e+03 1.025382171290225273e+02
1.736674990625550663e+03 1.296075988303747863e+03 4.509997263117170974e+01
1.892512033112636118e+03 1.201972894037152173e+03 1.025382171290225273e+02
8.471348110042981050e-01 1.514943187225445854e+03 4.509997263117170974e+01
2.182870388869629039e+02 1.549878006616226003e+03 1.025382171290225273e+02
5.246476351083944110e+02 1.539875375561736746e+03 4.509997263117170974e+01
9.113363461580174771e+02 1.588344302707326506e+03 1.025382171290225273e+02
1.184871303965765264e+03 1.527513823289651327e+03 4.509997263117170974e+01
1.570265657312458416e+03 1.710538850586449371e+03 1.025382171290225273e+02
1.874672262992887681e+03 1.518727573667959632e+03 4.509997263117170974e+01
4.658770598091363624e+00 1.696948796058863536e+03 1.025382171290225273e+02
3.665675242897925159e+02 1.705174866045734007e+03 4.509997263117170974e+01
7.359455060724829991e+02 1.727181555796632892e+03 1.025382171290225273e+02
9.403770996077125801e+02 1.860880137058744594e+03 4.509997263117170974e+01
1.392389736490428731e+03 1.846177659033028476e+03 1.025382171290225273e+02
1.637582985322815148e+03 1.879680652488138094e+03 4.509997263117170974e+01
1.861294649601141373e+03 1.700280898270230409e+03 1.025382171290225273e+02
9.742898292845122654e+00 1.939715893483357831e+03 4.509997263117170974e+01
2.666408848528212729e+02 2.056673274269734065e+03 1.025382171290225273e+02
5.775173359493348926e+02 2.002511298658248506e+03 4.509997263117170974e+01
7.569788026279213682e+02 2.033075259217650000e+03 1.025382171290225273e+02
1.267335935504647068e+03 2.167576290790504117e+03 4.509997263117170974e+01
1.419849372439125773e+03 2.068176986121763093e+03 1.025382171290225273e+02
1.487095000000001335e+02 2.195355500000002849e+03 4.509997263117170974e+01
3.417936566100250957e+02 2.307203029743612660e+03 1.025382171290225273e+02
7.612646274687939467e+02 2.281645733962397117e+03 4.509997263117170974e+01
1.086132587238723545e+03 2.285673995381727309e+03 1.025382171290225273e+02
4.993187069687602389e+02 2.398452296719707192e+03 4.509997263117170974e+01
8.418469999999994116e+02 2.444885000000001128e+03 1.025382171290225273e+02
