# turbineXstart, turbineYstart
5.129083511357686120e+02 3.914485244689064558e+00
8.287125246503997005e+02 -4.990763689056302610e+01
1.125415155354855187e+03 -5.378566947032908985e+01
3.671382104972645948e+02 3.314241864245432225e+02
5.662173907689625594e+02 2.158061049137039333e+02
1.018291605762488075e+03 2.818759308867597611e+02
1.304043375153864190e+03 2.037134105090248397e+02
1.619090455845597489e+03 3.311307333195805427e+02
1.821801738169102691e+02 5.418899722991095587e+02
5.560021740980264440e+02 5.644306582152195233e+02
7.799433415113916226e+02 4.346683255509940409e+02
1.082854950589300188e+03 5.540866183132357037e+02
1.440676848000430709e+03 5.646661805444753099e+02
1.776613884130257020e+03 5.506009344398552230e+02
1.196994998126697141e+02 7.164862078967156549e+02
3.468481898781816994e+02 6.834666217445437724e+02
7.474564207588075533e+02 6.981278227793922042e+02
8.981216702693938032e+02 6.818884843055234342e+02
1.364277201175956634e+03 7.084127008976357729e+02
1.651336153811450913e+03 8.010759360980904376e+02
1.857446710514579081e+03 8.757012307333764056e+02
2.368099562875101469e+02 1.006958414240152138e+03
5.772160024529454176e+02 9.218585650142856593e+02
7.731303745660420645e+02 9.252066680856036101e+02
1.148706844620196307e+03 1.060870177833609660e+03
1.446139808760350206e+03 1.102940077254633024e+03
1.813280337821909598e+03 1.125768491626006607e+03
8.520490527028292149e+01 1.250251298704454939e+03
3.592039275996563674e+02 1.256951458503808226e+03
6.549177828114363820e+02 1.238746811626189583e+03
9.255486977735781693e+02 1.312815173485655578e+03
1.286492450502522388e+03 1.273620677378332175e+03
1.615816450113224164e+03 1.216917627448852500e+03
1.882511995499504110e+03 1.269862566526750470e+03
-1.663459837757965687e+01 1.494842627500890785e+03
3.128064771112755693e+02 1.393997955954294866e+03
5.483221625607386613e+02 1.421573966301594737e+03
9.298393946060324424e+02 1.539416676753057345e+03
1.233927538850385872e+03 1.510739192766548967e+03
1.443992383414258484e+03 1.507738293960256897e+03
1.795077147047255494e+03 1.549365493796243300e+03
2.210389968449584046e+02 1.766522999659694733e+03
3.482265060511178376e+02 1.756491812543428068e+03
6.778892385320681342e+02 1.788034400450038902e+03
9.486632664597149187e+02 1.673622174792647002e+03
1.243030379219569568e+03 1.801139637851698808e+03
1.508013528756663618e+03 1.693434739374216861e+03
1.831670424334457266e+03 1.842687898247495468e+03
-5.438497667135037972e+01 2.006492951130281881e+03
2.156378184293554057e+02 1.909027907829219203e+03
5.792241483209099897e+02 1.883087564765721709e+03
7.898306390204529635e+02 2.008878200358893082e+03
1.179921234289225595e+03 1.980149437705931859e+03
1.468662890469348440e+03 2.004459524531669558e+03
1.775171876111519396e+02 2.146178053612348322e+03
3.512970496151542648e+02 2.222005384436330587e+03
6.704127784603583677e+02 2.273345370532791549e+03
1.034109175655539275e+03 2.132890834997664570e+03
6.132361217284413897e+02 2.476186108748419883e+03
7.983259915822404764e+02 2.469948696404934253e+03
