# turbineX, turbineY, turbineZ
1.372593764533332433e+03 2.523720199913433078e+02 1.000000000000000000e+02
2.385559898139456436e+03 -1.463557247569028448e+02 1.000000000000000000e+02
3.072954351151251103e+03 2.288578979746260700e+02 1.000000000000000000e+02
8.689401160770968318e+02 5.652990802833282942e+02 1.000000000000000000e+02
1.822035501939507867e+03 5.832716165959773207e+02 1.000000000000000000e+02
2.755537528067437052e+03 8.897830771595045007e+02 1.000000000000000000e+02
3.668599146664473665e+03 8.582739338769298456e+02 1.000000000000000000e+02
4.596992513492891703e+03 8.139872793719496258e+02 1.000000000000000000e+02
7.614937769888380217e+02 1.488973380612835854e+03 1.000000000000000000e+02
1.560050380568476839e+03 1.278041666235939829e+03 1.000000000000000000e+02
2.662170688937047089e+03 1.341581742477996613e+03 1.000000000000000000e+02
3.521309844929505743e+03 1.730188279166896564e+03 1.000000000000000000e+02
4.243680645585202001e+03 1.496274740532220449e+03 1.000000000000000000e+02
5.023174008576093911e+03 1.635923477144259778e+03 1.000000000000000000e+02
2.974690718641246576e+02 2.356503460030962742e+03 1.000000000000000000e+02
1.346361400764366408e+03 2.286454120792590402e+03 1.000000000000000000e+02
2.054761681116844102e+03 2.375605364780489253e+03 1.000000000000000000e+02
2.699121736263992716e+03 2.407948011315309031e+03 1.000000000000000000e+02
3.697953876037095597e+03 2.138940498099411343e+03 1.000000000000000000e+02
4.914066624459964260e+03 2.515952762493989212e+03 1.000000000000000000e+02
5.482891698566702871e+03 2.373561603823934092e+03 1.000000000000000000e+02
6.841168191094982376e+02 2.948078189948233558e+03 1.000000000000000000e+02
1.483509218819111084e+03 2.917089779416868623e+03 1.000000000000000000e+02
2.728667972660131454e+03 2.806673148003088954e+03 1.000000000000000000e+02
3.438694128159591401e+03 2.773301010971349569e+03 1.000000000000000000e+02
4.515810420092972890e+03 3.246622645271038436e+03 1.000000000000000000e+02
5.389612311837807283e+03 3.232625110513284653e+03 1.000000000000000000e+02
4.403003181559162726e+02 3.644786621730911520e+03 1.000000000000000000e+02
1.171024723685806975e+03 3.588518464880344254e+03 1.000000000000000000e+02
2.138883962105117462e+03 3.685690844157147694e+03 1.000000000000000000e+02
3.083912056820599901e+03 3.857609019914492364e+03 1.000000000000000000e+02
3.866170977849573319e+03 3.946736324513857198e+03 1.000000000000000000e+02
4.894715475060612334e+03 3.660484868173369250e+03 1.000000000000000000e+02
5.591400368757215801e+03 3.816283740755900453e+03 1.000000000000000000e+02
1.933568337500915959e+02 4.444868380141515445e+03 1.000000000000000000e+02
1.041181114789639878e+03 4.558707121315954282e+03 1.000000000000000000e+02
1.866279719976651677e+03 4.429161209436743775e+03 1.000000000000000000e+02
2.584551812117241752e+03 4.661140653954383197e+03 1.000000000000000000e+02
3.474298161655365220e+03 4.244795197946960798e+03 1.000000000000000000e+02
4.266590984360519542e+03 4.460230857926063436e+03 1.000000000000000000e+02
5.059649270071253341e+03 4.598489905400570933e+03 1.000000000000000000e+02
5.335008398957842246e+02 4.976258540923413420e+03 1.000000000000000000e+02
1.498569773201262706e+03 5.329233371681380049e+03 1.000000000000000000e+02
2.254648696898062553e+03 5.015784104590162315e+03 1.000000000000000000e+02
2.952897823955075182e+03 5.002049865690582010e+03 1.000000000000000000e+02
3.667631442413442073e+03 5.043332355664667375e+03 1.000000000000000000e+02
4.577357724233545923e+03 5.231536359209750117e+03 1.000000000000000000e+02
5.455429647616568218e+03 5.377285487455480506e+03 1.000000000000000000e+02
-1.327866102002915056e+02 5.740688186008424964e+03 1.000000000000000000e+02
1.055415086998289553e+03 5.992855085171527207e+03 1.000000000000000000e+02
1.504015443877808138e+03 5.876898195626661618e+03 1.000000000000000000e+02
2.806122742122382988e+03 5.720052569109646356e+03 1.000000000000000000e+02
3.221090788518195041e+03 5.884163404563194490e+03 1.000000000000000000e+02
4.144537706400716161e+03 5.817965507326314764e+03 1.000000000000000000e+02
3.344722879186064119e+02 6.533201800629299214e+03 1.000000000000000000e+02
1.042520390899644326e+03 6.627141709756372620e+03 1.000000000000000000e+02
1.995981310899906020e+03 6.764007118609043573e+03 1.000000000000000000e+02
2.756583593322121033e+03 6.620600624342832816e+03 1.000000000000000000e+02
1.471901998113934951e+03 7.180921033605561206e+03 1.000000000000000000e+02
2.726787183183613706e+03 7.128155989825992947e+03 1.000000000000000000e+02
