# turbineXstart, turbineYstart
1.594471175149149531e+03 -5.171242057560429828e+01
2.435903022328578572e+03 -2.536073486899586271e+01
3.421044712719323343e+03 1.155821789897464669e+02
1.249992827693986555e+03 7.269966249608689850e+02
2.012148951296581117e+03 9.350556973433467647e+02
3.044796946180716532e+03 6.291554382827810059e+02
3.586828716834647366e+03 7.915012039023687294e+02
4.931353365032535294e+03 8.302362653161114849e+02
6.871075867936253871e+02 1.529673977680329926e+03
1.496373528440747123e+03 1.426061073782992480e+03
2.407710499635867563e+03 1.291434113229449395e+03
3.135434451593795984e+03 1.738994355930598431e+03
4.131903559255903929e+03 1.483337008352009434e+03
5.184395361512545605e+03 1.508840692329634294e+03
5.329091626688490351e+02 2.086169625602155975e+03
1.254323349314438246e+03 2.411216549759563350e+03
2.024498847565537062e+03 2.049059467242714618e+03
2.802788561740446767e+03 2.092222678088800876e+03
3.774284531001004325e+03 2.295328030505249899e+03
4.712665940121971289e+03 2.237904358199567469e+03
5.675583425151403389e+03 2.274767914119527177e+03
8.523577799994857287e+02 3.170657597306814750e+03
1.527923176141101067e+03 2.705989389412834498e+03
2.354017374263697093e+03 2.753395644589574658e+03
3.342728275196076083e+03 3.185150907719731094e+03
4.419231366231611901e+03 3.098538984249425084e+03
5.466122511791514626e+03 2.913097179357874211e+03
4.709149821030185876e+02 3.612606457021555798e+03
1.000978620580666870e+03 3.728399577988569945e+03
2.058867975328620560e+03 3.517209190961161767e+03
3.075627560538177931e+03 3.741743537140907392e+03
3.821140526549572769e+03 3.589242322156945193e+03
4.919472335259658394e+03 3.955564563175415060e+03
5.505689305629706723e+03 3.945712851990073887e+03
9.167687344156296092e+01 4.423709005564936888e+03
1.036034461387389911e+03 4.228149735697902543e+03
1.891700703919610305e+03 4.538853682864553775e+03
2.674033519404557865e+03 4.343340097546223660e+03
3.624811826787284190e+03 4.591747081813507066e+03
4.246621147279274737e+03 4.685754659122557314e+03
5.099836900452604823e+03 4.795142610542983675e+03
3.358487000123494113e+02 5.118540149324268896e+03
1.504032821036377754e+03 5.258692502790104299e+03
1.951108025805243642e+03 5.062120906881385054e+03
2.778248949902229924e+03 5.030685309080166917e+03
3.724490162109243556e+03 5.285352211978326523e+03
4.786923759445035103e+03 5.525258486081515002e+03
5.391765761360389661e+03 5.252548762037370579e+03
-1.402410880462188913e+02 5.715145192490201225e+03
6.640229208618854955e+02 5.966157150975643162e+03
1.511172508387653579e+03 5.689812680229655598e+03
2.530857889880228868e+03 6.118664985866430470e+03
3.377250421780523084e+03 5.794264093330536525e+03
4.395674057559514040e+03 6.079476948076325243e+03
2.254727830072284860e+02 6.554956791953672109e+03
1.291352642687812477e+03 6.714511921457708013e+03
2.145035684123845385e+03 6.415610866071791861e+03
3.207834869724879809e+03 6.724231989152768620e+03
1.688273697503530002e+03 7.487742184182164237e+03
2.631487763977693248e+03 7.104714429692396152e+03
