# turbineX, turbineY, turbineZ
1.489751993438225099e+03 4.991915224794932016e+01 1.000000000000000000e+02
2.339150497124907815e+03 4.967543340347051384e+01 1.000000000000000000e+02
3.333352519214639869e+03 8.576346202487331993e+01 1.000000000000000000e+02
1.191013415660657301e+03 5.428899658673731210e+02 1.000000000000000000e+02
1.785764670246452397e+03 4.965729186555962542e+02 1.000000000000000000e+02
2.907311903171613267e+03 6.364582679398347409e+02 1.000000000000000000e+02
3.825571360202392498e+03 7.765533665238212961e+02 1.000000000000000000e+02
4.675328207286402176e+03 8.709806507657879138e+02 1.000000000000000000e+02
7.691038225607803724e+02 1.372645498963798900e+03 1.000000000000000000e+02
1.570063731182459833e+03 1.534463580946432103e+03 1.000000000000000000e+02
2.657931096411792169e+03 1.382542543166479845e+03 1.000000000000000000e+02
3.510511617473851857e+03 1.765168437932600227e+03 1.000000000000000000e+02
4.364524548248785322e+03 1.767605437335815850e+03 1.000000000000000000e+02
5.206824074451074011e+03 1.628578177433505971e+03 1.000000000000000000e+02
2.963036185562267519e+02 2.438932333855965680e+03 1.000000000000000000e+02
8.519773575343533594e+02 2.040217340932951174e+03 1.000000000000000000e+02
2.190987008426377088e+03 2.012863709944984294e+03 1.000000000000000000e+02
3.114659496713341923e+03 2.246779039927540452e+03 1.000000000000000000e+02
3.776527210133384870e+03 2.230345291252693187e+03 1.000000000000000000e+02
4.984401780966740262e+03 2.380133779288308688e+03 1.000000000000000000e+02
5.699118819701196117e+03 2.559156744492043345e+03 1.000000000000000000e+02
9.221941761303006615e+02 2.803200962427064042e+03 1.000000000000000000e+02
1.482898570701280050e+03 2.906719578010040550e+03 1.000000000000000000e+02
2.394426015719637689e+03 2.747010502433608963e+03 1.000000000000000000e+02
3.336188121069659701e+03 2.864499193081706835e+03 1.000000000000000000e+02
4.282652871713216882e+03 2.961299219282107970e+03 1.000000000000000000e+02
5.182567922956071016e+03 3.353324831970208834e+03 1.000000000000000000e+02
3.557748364685737670e+02 3.612896558259051289e+03 1.000000000000000000e+02
1.234545690716622630e+03 3.713560796546105394e+03 1.000000000000000000e+02
2.214740682727710009e+03 3.571418780938830423e+03 1.000000000000000000e+02
3.077894941203872804e+03 3.707441023687358665e+03 1.000000000000000000e+02
3.835886061432868246e+03 3.588620389838711162e+03 1.000000000000000000e+02
4.590215183231878655e+03 4.025885869591535538e+03 1.000000000000000000e+02
5.653807851734465658e+03 4.151875440746527602e+03 1.000000000000000000e+02
9.098181637190734250e+01 4.542994266740153762e+03 1.000000000000000000e+02
1.022487873152203406e+03 4.265611593118236669e+03 1.000000000000000000e+02
1.634439670118042159e+03 4.377547667147511675e+03 1.000000000000000000e+02
2.559874286940505954e+03 4.482550283938270695e+03 1.000000000000000000e+02
3.461566572053362052e+03 4.339296364028233256e+03 1.000000000000000000e+02
4.598144468707580927e+03 4.633820081362710880e+03 1.000000000000000000e+02
5.414908900546301993e+03 4.504890210684608974e+03 1.000000000000000000e+02
2.691447030385823496e+02 5.091350854622814950e+03 1.000000000000000000e+02
1.362401409362832965e+03 5.226993103985935704e+03 1.000000000000000000e+02
1.933160844883117534e+03 5.007102187018466793e+03 1.000000000000000000e+02
3.030633347134904398e+03 5.169715584995088648e+03 1.000000000000000000e+02
3.928442511036772885e+03 5.164352189448492936e+03 1.000000000000000000e+02
4.774726468176847447e+03 5.463728845705319145e+03 1.000000000000000000e+02
5.576691518664330943e+03 5.198454246698361203e+03 1.000000000000000000e+02
1.101565055823338497e+02 6.005751236914939909e+03 1.000000000000000000e+02
7.327110070021745969e+02 5.770646455571783918e+03 1.000000000000000000e+02
1.812286691625052072e+03 5.628142979814208047e+03 1.000000000000000000e+02
2.649543345681916435e+03 5.740287196630293693e+03 1.000000000000000000e+02
3.437919159814567138e+03 5.854870912959059751e+03 1.000000000000000000e+02
4.374680676941448837e+03 5.976063709106571878e+03 1.000000000000000000e+02
6.916220132226061423e+02 6.565002398892952442e+03 1.000000000000000000e+02
1.457650372989888865e+03 6.761309071328997561e+03 1.000000000000000000e+02
2.193072248858837611e+03 6.654841595250264618e+03 1.000000000000000000e+02
2.966494417614042959e+03 6.549347293415205058e+03 1.000000000000000000e+02
1.496753365144307281e+03 7.194660171882374925e+03 1.000000000000000000e+02
2.528297158920378024e+03 7.190489419620430454e+03 1.000000000000000000e+02
