# turbineX, turbineY, turbineZ
9.509731060293811424e+02 5.323045814221588046e+01 8.999500000000000455e+01
1.630753382912242841e+03 2.604179430408117835e+00 8.999500000000000455e+01
2.239100518246077627e+03 6.682549239852794187e+01 8.999500000000000455e+01
6.364272635459783487e+02 6.718372816929099827e+02 8.999500000000000455e+01
1.402220072838627402e+03 3.624037520625703337e+02 8.999500000000000455e+01
1.899173514446144509e+03 5.189726910492735215e+02 8.999500000000000455e+01
2.669213520614485788e+03 3.129210762278762559e+02 8.999500000000000455e+01
3.135502000000001317e+03 5.797149999999998045e+02 8.999500000000000455e+01
4.711536762467747508e+02 9.968753367146758819e+02 8.999500000000000455e+01
1.005483853783750533e+03 8.559932592308697394e+02 8.999500000000000455e+01
1.534161411130131683e+03 9.781720103843005063e+02 8.999500000000000455e+01
2.369613536739507708e+03 6.628643741643128351e+02 8.999500000000000455e+01
2.950763784481473522e+03 1.132537418739417262e+03 8.999500000000000455e+01
3.446211099508319876e+03 1.070347959635103507e+03 8.999500000000000455e+01
2.167629999999999768e+02 1.497176999999999680e+03 8.999500000000000455e+01
5.720549710343300376e+02 1.350862822147660609e+03 8.999500000000000455e+01
1.391701969425036168e+03 1.456217480737843971e+03 8.999500000000000455e+01
2.262037712752055540e+03 1.151730549608480487e+03 8.999500000000000455e+01
2.474144923648674194e+03 1.488627526779405343e+03 8.999500000000000455e+01
3.403841154973546054e+03 1.712619767402207117e+03 8.999500000000000455e+01
3.800913999999999305e+03 1.633283999999999878e+03 8.999500000000000455e+01
6.272962450969032489e+02 1.915532311938007069e+03 8.999500000000000455e+01
9.719673420992288584e+02 1.752271795092509819e+03 8.999500000000000455e+01
1.977304795526545377e+03 1.715772270250653264e+03 8.999500000000000455e+01
2.525245823098198343e+03 2.156983693793496968e+03 8.999500000000000455e+01
2.818035502673347310e+03 1.975096197947729024e+03 8.999500000000000455e+01
3.468042973254872322e+03 2.098624649800396128e+03 8.999500000000000455e+01
1.092569696044849934e+02 2.217217389625774558e+03 8.999500000000000455e+01
5.839432939611206166e+02 2.307307071272614849e+03 8.999500000000000455e+01
1.161198575842701075e+03 2.323626875108606782e+03 8.999500000000000455e+01
1.865445265217406813e+03 2.677758096136378754e+03 8.999500000000000455e+01
2.610201293691728551e+03 2.694125566259240713e+03 8.999500000000000455e+01
3.341137840661099290e+03 2.853809721797170823e+03 8.999500000000000455e+01
3.776261288693378901e+03 2.672156224875588123e+03 8.999500000000000455e+01
2.491821210120269470e+00 3.067969462783238214e+03 8.999500000000000455e+01
2.934496742287096822e+02 2.934812682328308711e+03 8.999500000000000455e+01
1.038238252687283421e+03 3.047202451967057186e+03 8.999500000000000455e+01
1.508586679694864870e+03 2.836961517805366384e+03 8.999500000000000455e+01
2.673522543969785147e+03 3.093071381797566119e+03 8.999500000000000455e+01
3.117893744735882592e+03 3.115024986735516904e+03 8.999500000000000455e+01
3.736872423855487341e+03 3.206719390532663510e+03 8.999500000000000455e+01
3.021094996526106229e+02 3.593858610044167108e+03 8.999500000000000455e+01
8.097563227717811287e+02 3.341765652851426239e+03 8.999500000000000455e+01
1.795412911015839200e+03 3.558209649484082092e+03 8.999500000000000455e+01
2.100364095434417322e+03 3.461297442786699321e+03 8.999500000000000455e+01
2.747366270978598095e+03 3.545606413916861129e+03 8.999500000000000455e+01
3.176009337218518795e+03 3.917166471763056506e+03 8.999500000000000455e+01
3.710176000000000386e+03 3.569027999999999338e+03 8.999500000000000455e+01
2.016400000000000858e+01 3.911815999999999804e+03 8.999500000000000455e+01
3.155972357288443391e+02 4.034724110602354358e+03 8.999500000000000455e+01
1.277227224186391823e+03 3.727292477414312998e+03 8.999500000000000455e+01
1.861711272795090736e+03 4.218280024721776499e+03 8.999500000000000455e+01
2.378426056817009794e+03 4.436984430631700889e+03 8.999500000000000455e+01
2.840308050193432337e+03 4.135956862809252925e+03 8.999500000000000455e+01
3.474706259550347909e+02 4.419704319912978463e+03 8.999500000000000455e+01
7.767711093354723744e+02 4.349226527288133184e+03 8.999500000000000455e+01
1.505930675176064824e+03 4.575043655511057295e+03 8.999500000000000455e+01
1.927375084287351001e+03 4.621734117826393231e+03 8.999500000000000455e+01
1.124143000000000029e+03 4.869606000000001586e+03 8.999500000000000455e+01
1.581085934747242391e+03 4.886072412062963849e+03 8.999500000000000455e+01
