# turbineXstart, turbineYstart
1.644499953870024456e+03 -3.910507245888089756e+01
2.452862218928195489e+03 -2.003372687323041532e+02
3.112394259306576714e+03 1.147881195415243667e+02
1.191129564378812802e+03 6.052223738109755686e+02
1.841404478260008545e+03 7.232472027191473671e+02
3.077569986111659091e+03 7.412946193633252960e+02
3.585347285833016031e+03 8.094387894893993689e+02
4.932177153229670694e+03 8.981229444827168891e+02
7.797945754114499550e+02 1.333281822507042762e+03
1.407828784424195646e+03 1.431198241473911594e+03
2.353543106363903462e+03 1.379014690350952151e+03
3.345459270882152850e+03 1.504840315753919185e+03
4.462052905647384250e+03 1.771870431519885187e+03
5.295012737942491185e+03 1.497264957717988409e+03
3.061207832348276270e+02 2.294816513987110739e+03
1.227380274371930227e+03 2.246925711856869384e+03
2.013121663309554378e+03 2.100929116097368478e+03
2.932059864934129109e+03 2.414940470781710701e+03
3.696574213093130311e+03 2.380228396832758790e+03
4.673313696802991217e+03 2.552794495138051843e+03
5.932751185945283396e+03 2.631856336132595516e+03
6.650988014670252824e+02 2.974001327231972937e+03
1.861994514057461402e+03 2.841893740851039638e+03
2.464848510129290844e+03 3.148090334981923661e+03
3.363416818565300673e+03 2.933270788391286260e+03
4.499634371961892612e+03 3.203894757394175031e+03
5.485221464131677749e+03 3.382567409542952646e+03
3.269872452131759246e+02 3.655740983537541069e+03
1.085196591229444266e+03 3.841839346066301459e+03
2.237176121895203323e+03 3.820614476538298732e+03
3.185427768839529108e+03 3.522823110342662858e+03
3.864506804724854192e+03 3.865951098175467450e+03
4.895410036502077674e+03 3.902533168447387652e+03
5.618860735176816888e+03 3.951446045914721708e+03
8.062978208511603384e+01 4.464827434411463400e+03
8.826622513316802952e+02 4.501545808178392690e+03
1.677588015129514588e+03 4.405089649471764460e+03
2.567674337953893428e+03 4.312611789171131022e+03
3.621053952757061325e+03 4.448532897346202844e+03
4.218006622019051974e+03 4.564496850762395297e+03
5.375001408859134244e+03 4.391162864338954932e+03
3.712875129482378043e+02 5.014675512787131993e+03
1.368299119831802727e+03 5.306079314029785564e+03
2.345170233974960411e+03 5.370900421263806493e+03
3.062412860828545035e+03 4.961477865288568864e+03
3.890191722183148158e+03 5.262200447510263984e+03
4.833267398288087861e+03 5.468368654173851610e+03
5.601203331558218451e+03 5.496233989981018567e+03
-5.106603994286974313e+01 5.831769242696390393e+03
8.193560466761241514e+02 5.923216502086471337e+03
1.665859519195753592e+03 5.693873301739515227e+03
2.741246382263720989e+03 5.906339869027416171e+03
3.637335994503710936e+03 5.771485625015896403e+03
4.247323381025461458e+03 5.770817390283058558e+03
4.499317783405737146e+02 6.514376964183022210e+03
1.337653768295212103e+03 6.441632246490605212e+03
2.218263405396587132e+03 6.838229381213808665e+03
3.042816758031245172e+03 6.497093397014474249e+03
1.535151744626537493e+03 7.500225742039321631e+03
2.324601780657069412e+03 7.225777012800708690e+03
