# turbineX, turbineY, turbineZ
1.088437268448515169e+03 8.072882287851859573e+00 1.494230065140000079e+02
1.408417487305247505e+03 8.427930103268076678e+00 1.494230065140000079e+02
2.130023690058450939e+03 1.924652300194836485e+01 1.494230065140000079e+02
7.860321765429667948e+02 5.232256386530694954e+02 1.494230065140000079e+02
1.128202625282683130e+03 3.255736366285070176e+02 1.494230065140000079e+02
1.867510434690084367e+03 2.022262654021513413e+02 1.494230065140000079e+02
2.497615162958628389e+03 3.057791244973103062e+02 1.494230065140000079e+02
3.135501999999999953e+03 5.797149999999998045e+02 1.494230065140000079e+02
4.401207045478973896e+02 1.057906847722467319e+03 1.494230065140000079e+02
6.398334097871066888e+02 8.078909896820058520e+02 1.494230065140000079e+02
1.629979774763541400e+03 1.026074318285982827e+03 1.494230065140000079e+02
2.319765612255528140e+03 9.706104511920144660e+02 1.494230065140000079e+02
3.123014695680397381e+03 9.758835526909323335e+02 1.494230065140000079e+02
3.437504349263670065e+03 1.034906946716257607e+03 1.494230065140000079e+02
2.159058240787956038e+02 1.502918085239695074e+03 1.494230065140000079e+02
8.226340466083497631e+02 1.369078693976972090e+03 1.494230065140000079e+02
1.403521316679722531e+03 1.486239333620083698e+03 1.494230065140000079e+02
2.109680544702202042e+03 1.419267927597684775e+03 1.494230065140000079e+02
2.676480764937463391e+03 1.544802335202926542e+03 1.494230065140000079e+02
3.308428779473328177e+03 1.575818207694365583e+03 1.494230065140000079e+02
3.760362230341330815e+03 1.565697717235553455e+03 1.494230065140000079e+02
4.138618812433223866e+02 1.881167389329184516e+03 1.494230065140000079e+02
8.824150725884140911e+02 1.863001270080145787e+03 1.494230065140000079e+02
1.579553066064167069e+03 2.062933521023520370e+03 1.494230065140000079e+02
2.275884784124335511e+03 2.008947882338037061e+03 1.494230065140000079e+02
2.890967123845853621e+03 2.114275694007327274e+03 1.494230065140000079e+02
3.762658507679446757e+03 2.238554192280458665e+03 1.494230065140000079e+02
7.283242260834352066e+01 2.461177146251097838e+03 1.494230065140000079e+02
7.534738427815248087e+02 2.416150066721028452e+03 1.494230065140000079e+02
1.374733823445380949e+03 2.308773246785701758e+03 1.494230065140000079e+02
2.030755076519925751e+03 2.749711592210480831e+03 1.494230065140000079e+02
2.486230423310906644e+03 2.596188633707652571e+03 1.494230065140000079e+02
3.390300237085192748e+03 2.556479232529592991e+03 1.494230065140000079e+02
3.779201783269435509e+03 2.632249512771942591e+03 1.494230065140000079e+02
8.245888174419211403e-01 2.988359116032852398e+03 1.494230065140000079e+02
5.304648422529837717e+02 2.879679721697280456e+03 1.494230065140000079e+02
9.701085564449533649e+02 2.819325799305910550e+03 1.494230065140000079e+02
1.550838405110245731e+03 3.041388286221029830e+03 1.494230065140000079e+02
2.535907769033111890e+03 3.166537594789734612e+03 1.494230065140000079e+02
3.010011934934253532e+03 3.066151956564854572e+03 1.494230065140000079e+02
3.507661527127437239e+03 3.041293616673582619e+03 1.494230065140000079e+02
1.176657249102518854e+01 3.510838836446454479e+03 1.494230065140000079e+02
7.313283592512120777e+02 3.569150649491876266e+03 1.494230065140000079e+02
1.291802540676181479e+03 3.337593131443878974e+03 1.494230065140000079e+02
2.050052704316503878e+03 3.501339148365447272e+03 1.494230065140000079e+02
2.638019977263330475e+03 3.627099237127399647e+03 1.494230065140000079e+02
3.273478019195190427e+03 3.847373601609288016e+03 1.494230065140000079e+02
3.657078922033934759e+03 3.603633558276389067e+03 1.494230065140000079e+02
8.669332080323331979e+01 4.003054281482212900e+03 1.494230065140000079e+02
4.980465155105600275e+02 3.872594842334322948e+03 1.494230065140000079e+02
1.314681479762259187e+03 4.065059353618837577e+03 1.494230065140000079e+02
1.602660220230882487e+03 3.925576389777482746e+03 1.494230065140000079e+02
2.514853597161474227e+03 4.348068969014164395e+03 1.494230065140000079e+02
2.782925288176361846e+03 4.173355578352719931e+03 1.494230065140000079e+02
2.974189999999998690e+02 4.390711000000000240e+03 1.494230065140000079e+02
7.003397304396535219e+02 4.549181964927991430e+03 1.494230065140000079e+02
1.607738049362092170e+03 4.544276782796750012e+03 1.494230065140000079e+02
2.230804632008180761e+03 4.495389768083656236e+03 1.494230065140000079e+02
1.124142999999999802e+03 4.869605999999998858e+03 1.494230065140000079e+02
1.684505022582060519e+03 4.889241423093285448e+03 1.494230065140000079e+02
